roll_call_id,people_id,vote,vote_desc
1066377,9065,1,Yea
1066377,9066,1,Yea
1066377,9067,1,Yea
1066377,9068,1,Yea
1066377,9069,1,Yea
1066377,9070,1,Yea
1066377,9071,1,Yea
1066377,9072,1,Yea
1066377,9073,1,Yea
1066377,9074,1,Yea
1066377,9075,1,Yea
1066377,9076,1,Yea
1066377,9077,1,Yea
1066377,9078,1,Yea
1066377,9079,1,Yea
1066377,9080,1,Yea
1066377,9081,3,NV
1066377,9082,1,Yea
1066377,9083,1,Yea
1066377,9084,1,Yea
1066377,9085,1,Yea
1066377,9086,1,Yea
1066377,9087,1,Yea
1066377,9088,1,Yea
1066377,9089,1,Yea
1066377,9090,1,Yea
1066377,9091,1,Yea
1066377,9092,1,Yea
1066377,9093,1,Yea
1066377,9094,1,Yea
1066377,9095,1,Yea
1066377,9096,1,Yea
1066377,9097,1,Yea
1066377,9098,1,Yea
1066377,9099,1,Yea
1066377,9101,1,Yea
1066377,9102,1,Yea
1066377,9103,1,Yea
1066377,9104,1,Yea
1066377,9105,1,Yea
1066377,9106,1,Yea
1066377,9107,1,Yea
1066377,9109,1,Yea
1066377,9110,1,Yea
1066377,9111,1,Yea
1066377,9112,1,Yea
1066377,9113,1,Yea
1066377,9114,1,Yea
1066377,9115,1,Yea
1066377,9116,1,Yea
1066377,9117,1,Yea
1066377,9118,1,Yea
1066377,9119,1,Yea
1066377,9120,1,Yea
1066377,9121,1,Yea
1066377,9122,1,Yea
1066377,9123,1,Yea
1066377,9124,1,Yea
1066377,9125,1,Yea
1066377,9126,1,Yea
1066377,9127,1,Yea
1066377,9128,1,Yea
1066377,9129,1,Yea
1066377,9130,1,Yea
1066377,9131,1,Yea
1066377,9132,1,Yea
1066377,9133,1,Yea
1066377,9134,1,Yea
1066377,9135,1,Yea
1066377,9136,1,Yea
1066377,9137,1,Yea
1066377,9138,1,Yea
1066377,9139,1,Yea
1066377,9140,1,Yea
1066377,9141,1,Yea
1066377,9142,1,Yea
1066377,9143,1,Yea
1066377,9144,1,Yea
1066377,9145,1,Yea
1066377,9146,1,Yea
1066377,9147,1,Yea
1066377,9148,1,Yea
1066377,9149,1,Yea
1066377,9150,1,Yea
1066377,9151,1,Yea
1066377,9152,1,Yea
1066377,9153,1,Yea
1066377,9154,2,Nay
1066377,9155,2,Nay
1066377,9156,2,Nay
1066377,9157,2,Nay
1066377,9158,2,Nay
1066377,9159,1,Yea
1066377,9160,1,Yea
1066377,9161,1,Yea
1066377,9162,2,Nay
1066377,9163,2,Nay
1066377,9164,2,Nay
1066377,9166,2,Nay
1066377,9167,1,Yea
1066377,9168,2,Nay
1066377,9169,2,Nay
1066377,9170,1,Yea
1066377,9171,2,Nay
1066377,9172,2,Nay
1066377,9173,2,Nay
1066377,9174,2,Nay
1066377,9175,2,Nay
1066377,9176,2,Nay
1066377,9177,2,Nay
1066377,9178,2,Nay
1066377,9179,2,Nay
1066377,9180,1,Yea
1066377,9181,2,Nay
1066377,9182,2,Nay
1066377,9183,2,Nay
1066377,9184,2,Nay
1066377,9185,2,Nay
1066377,9186,2,Nay
1066377,9187,1,Yea
1066377,9188,2,Nay
1066377,9189,1,Yea
1066377,9190,2,Nay
1066377,9191,2,Nay
1066377,9192,2,Nay
1066377,9193,2,Nay
1066377,9194,2,Nay
1066377,9195,2,Nay
1066377,9196,2,Nay
1066377,9197,2,Nay
1066377,9198,2,Nay
1066377,9199,2,Nay
1066377,9200,2,Nay
1066377,9201,1,Yea
1066377,9202,2,Nay
1066377,9203,2,Nay
1066377,9204,2,Nay
1066377,9205,2,Nay
1066377,9206,2,Nay
1066377,9207,2,Nay
1066377,9208,2,Nay
1066377,9209,2,Nay
1066377,9210,2,Nay
1066377,9211,2,Nay
1066377,9212,2,Nay
1066377,9213,2,Nay
1066377,9214,2,Nay
1066377,9215,2,Nay
1066377,9216,2,Nay
1066377,9217,2,Nay
1066377,9218,2,Nay
1066377,9219,2,Nay
1066377,9220,2,Nay
1066377,9221,2,Nay
1066377,9222,2,Nay
1066377,9223,2,Nay
1066377,9224,2,Nay
1066377,9225,2,Nay
1066377,9226,2,Nay
1066377,9227,2,Nay
1066377,9228,2,Nay
1066377,9229,2,Nay
1066377,9230,2,Nay
1066377,9231,2,Nay
1066377,9232,2,Nay
1066377,9233,1,Yea
1066377,9236,1,Yea
1066377,9237,2,Nay
1066377,9238,2,Nay
1066377,9239,1,Yea
1066377,9240,2,Nay
1066377,9241,1,Yea
1066377,9242,2,Nay
1066377,9243,2,Nay
1066377,9244,2,Nay
1066377,9245,2,Nay
1066377,9246,1,Yea
1066377,9247,2,Nay
1066377,9248,2,Nay
1066377,9249,2,Nay
1066377,9250,2,Nay
1066377,9251,2,Nay
1066377,9252,2,Nay
1066377,9253,1,Yea
1066377,9254,2,Nay
1066377,9255,2,Nay
1066377,9256,2,Nay
1066377,9257,2,Nay
1066377,9258,1,Yea
1066377,9259,1,Yea
1066377,9260,2,Nay
1066377,9261,1,Yea
1066377,9262,2,Nay
1066377,9263,1,Yea
1066377,9264,2,Nay
1066377,9265,1,Yea
1066377,9266,1,Yea
1066377,9267,2,Nay
1066377,9268,1,Yea
1066377,9269,2,Nay
1066377,9270,2,Nay
1066377,9271,2,Nay
1066377,9272,2,Nay
1066377,9273,2,Nay
1066377,9274,2,Nay
1066377,9275,1,Yea
1066377,9276,2,Nay
1066377,9277,1,Yea
1066377,9278,2,Nay
1066377,9279,2,Nay
1066377,9280,2,Nay
1066377,9281,2,Nay
1066377,9282,2,Nay
1066377,9283,2,Nay
1066377,9284,2,Nay
1066377,9285,1,Yea
1066377,9286,1,Yea
1066377,9287,2,Nay
1066377,9288,1,Yea
1066377,9289,2,Nay
1066377,9290,2,Nay
1066377,9291,2,Nay
1066377,9292,4,Absent
1066377,9293,2,Nay
1066377,9294,2,Nay
1066377,9295,2,Nay
1066377,9296,2,Nay
1066377,9297,2,Nay
1066377,9298,1,Yea
1066377,9299,1,Yea
1066377,9300,1,Yea
1066377,9301,1,Yea
1066377,9302,2,Nay
1066377,9303,2,Nay
1066377,9304,1,Yea
1066377,9305,2,Nay
1066377,9306,2,Nay
1066377,9307,1,Yea
1066377,9308,2,Nay
1066377,9309,1,Yea
1066377,9310,2,Nay
1066377,9311,2,Nay
1066377,9313,1,Yea
1066377,9314,2,Nay
1066377,9315,2,Nay
1066377,9316,2,Nay
1066377,9317,1,Yea
1066377,9318,1,Yea
1066377,9319,1,Yea
1066377,9320,2,Nay
1066377,9321,1,Yea
1066377,9322,2,Nay
1066377,9323,2,Nay
1066377,9324,2,Nay
1066377,9325,1,Yea
1066377,9326,2,Nay
1066377,9327,1,Yea
1066377,9328,2,Nay
1066377,9329,2,Nay
1066377,9330,2,Nay
1066377,9331,2,Nay
1066377,9332,2,Nay
1066377,9333,2,Nay
1066377,9334,2,Nay
1066377,9335,2,Nay
1066377,9336,1,Yea
1066377,9337,2,Nay
1066377,9338,2,Nay
1066377,9339,1,Yea
1066377,9340,1,Yea
1066377,9341,2,Nay
1066377,9342,1,Yea
1066377,9343,2,Nay
1066377,9344,2,Nay
1066377,9345,2,Nay
1066377,9346,2,Nay
1066377,9347,2,Nay
1066377,9348,2,Nay
1066377,9349,2,Nay
1066377,9350,2,Nay
1066377,9351,2,Nay
1066377,9352,2,Nay
1066377,9353,2,Nay
1066377,9354,4,Absent
1066377,9355,2,Nay
1066377,9356,2,Nay
1066377,9357,2,Nay
1066377,9358,2,Nay
1066377,9359,2,Nay
1066377,9361,2,Nay
1066377,9362,2,Nay
1066377,9363,2,Nay
1066377,9364,2,Nay
1066377,9365,2,Nay
1066377,9366,2,Nay
1066377,9367,2,Nay
1066377,9368,2,Nay
1066377,9369,2,Nay
1066377,9370,2,Nay
1066377,9371,2,Nay
1066377,9372,2,Nay
1066377,9373,2,Nay
1066377,9375,2,Nay
1066377,9376,2,Nay
1066377,9377,2,Nay
