bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
640981,1044921,text,211933,application/pdf,Introduced,https://legiscan.com/US/text/HB4290/id/1044921,https://www.congress.gov/113/bills/hr4290/BILLS-113hr4290pcs.pdf
640981,1044881,text,114606,application/pdf,Engrossed,https://legiscan.com/US/text/HB4290/id/1044881,https://www.congress.gov/113/bills/hr4290/BILLS-113hr4290eh.pdf
640982,997850,text,317288,application/pdf,Introduced,https://legiscan.com/US/text/HB4291/id/997850,https://www.congress.gov/113/bills/hr4291/BILLS-113hr4291ih.pdf
640945,998842,text,251681,application/pdf,Introduced,https://legiscan.com/US/text/HB4292/id/998842,https://www.congress.gov/113/bills/hr4292/BILLS-113hr4292ih.pdf
640945,1020190,text,235954,application/pdf,Introduced,https://legiscan.com/US/text/HB4292/id/1020190,https://www.congress.gov/113/bills/hr4292/BILLS-113hr4292rh.pdf
640945,1020462,text,118337,application/pdf,Engrossed,https://legiscan.com/US/text/HB4292/id/1020462,https://www.congress.gov/113/bills/hr4292/BILLS-113hr4292eh.pdf
640969,998480,text,262326,application/pdf,Introduced,https://legiscan.com/US/text/HB4293/id/998480,https://www.congress.gov/113/bills/hr4293/BILLS-113hr4293ih.pdf
640975,998893,text,254261,application/pdf,Introduced,https://legiscan.com/US/text/HB4294/id/998893,https://www.congress.gov/113/bills/hr4294/BILLS-113hr4294ih.pdf
640947,998869,text,248096,application/pdf,Introduced,https://legiscan.com/US/text/HB4295/id/998869,https://www.congress.gov/113/bills/hr4295/BILLS-113hr4295ih.pdf
640970,998699,text,247444,application/pdf,Introduced,https://legiscan.com/US/text/HB4296/id/998699,https://www.congress.gov/113/bills/hr4296/BILLS-113hr4296ih.pdf
640970,1057982,text,250937,application/pdf,Introduced,https://legiscan.com/US/text/HB4296/id/1057982,https://www.congress.gov/113/bills/hr4296/BILLS-113hr4296rh.pdf
640961,998867,text,249737,application/pdf,Introduced,https://legiscan.com/US/text/HB4297/id/998867,https://www.congress.gov/113/bills/hr4297/BILLS-113hr4297ih.pdf
641373,998455,text,278353,application/pdf,Introduced,https://legiscan.com/US/text/HB4298/id/998455,https://www.congress.gov/113/bills/hr4298/BILLS-113hr4298ih.pdf
641395,999994,text,249713,application/pdf,Introduced,https://legiscan.com/US/text/HB4299/id/999994,https://www.congress.gov/113/bills/hr4299/BILLS-113hr4299ih.pdf
641395,1046196,text,254225,application/pdf,Introduced,https://legiscan.com/US/text/HB4299/id/1046196,https://www.congress.gov/113/bills/hr4299/BILLS-113hr4299rh.pdf
641392,999928,text,268135,application/pdf,Introduced,https://legiscan.com/US/text/HB4300/id/999928,https://www.congress.gov/113/bills/hr4300/BILLS-113hr4300ih.pdf
641391,999929,text,249736,application/pdf,Introduced,https://legiscan.com/US/text/HB4301/id/999929,https://www.congress.gov/113/bills/hr4301/BILLS-113hr4301ih.pdf
641365,998816,text,444298,application/pdf,Introduced,https://legiscan.com/US/text/HB4302/id/998816,https://www.congress.gov/113/bills/hr4302/BILLS-113hr4302ih.pdf
641365,999318,text,267737,application/pdf,Engrossed,https://legiscan.com/US/text/HB4302/id/999318,https://www.congress.gov/113/bills/hr4302/BILLS-113hr4302eh.pdf
641365,1002040,text,219601,application/pdf,Enrolled,https://legiscan.com/US/text/HB4302/id/1002040,https://www.congress.gov/113/bills/hr4302/BILLS-113hr4302enr.pdf
641375,1001593,text,302269,application/pdf,Introduced,https://legiscan.com/US/text/HB4303/id/1001593,https://www.congress.gov/113/bills/hr4303/BILLS-113hr4303ih.pdf
641384,1001401,text,759777,application/pdf,Introduced,https://legiscan.com/US/text/HB4304/id/1001401,https://www.congress.gov/113/bills/hr4304/BILLS-113hr4304ih.pdf
641387,1001099,text,252457,application/pdf,Introduced,https://legiscan.com/US/text/HB4305/id/1001099,https://www.congress.gov/113/bills/hr4305/BILLS-113hr4305ih.pdf
641367,998708,text,248156,application/pdf,Introduced,https://legiscan.com/US/text/HB4306/id/998708,https://www.congress.gov/113/bills/hr4306/BILLS-113hr4306ih.pdf
641372,1001650,text,249704,application/pdf,Introduced,https://legiscan.com/US/text/HB4307/id/1001650,https://www.congress.gov/113/bills/hr4307/BILLS-113hr4307ih.pdf
641383,1002486,text,252570,application/pdf,Introduced,https://legiscan.com/US/text/HB4308/id/1002486,https://www.congress.gov/113/bills/hr4308/BILLS-113hr4308ih.pdf
